sweep,size,target_fps,phase,status,started_iso,elapsed_s,last_step,wns_ns,fmax_mhz,lut,lut_pct,ff,bram18,bram18_pct,dsp,dsp_pct,est_fps_fpga,est_latency_us,bitstream_mb,folding_json,cpu_layers_json,log_path,error_excerpt
cnn_int8_qi,medium,1000,B,tool_fail,2026-05-02T03:15:00Z,3213,step_synthesize_bitfile,,,,,,,,,,,,,,,results/finn/size_sweep_qi/compile_logs/cnn_int8_medium_qi.log,ERROR: [Common 17-69] Command failed: Run 'impl_1' failed. Unable to open
cnn_int8_qi,large,1000,B,tool_fail,2026-05-02T04:08:33Z,4500,,,,,,,,,,,,,,,,results/finn/size_sweep_qi/compile_logs/cnn_int8_large_qi.log,
cnn_int8_qi,deep_3,1000,B,tool_fail,2026-05-02T05:23:34Z,1571,,,,,,,,,,,,,,,,results/finn/size_sweep_qi/compile_logs/cnn_int8_deep_3_qi.log,
cnn_int8_cifar10_qi,small,1000,B,success,2026-05-02T09:09:08Z,1953,step_deployment_package,2.524,133.76,39199,55.55,40710,49,11.34,26,7.22,1356.3368055555557,1913.09,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 3}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 9}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 16}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 4, ""SIMD"": 4}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int8_cifar10_small_qi.log,
cnn_int8_qi,tiny,1000,B,success,2026-05-02T09:41:42Z,1488,step_deployment_package,3.867,163.05,20894,29.61,24327,21,4.86,4,1.11,1328.656462585034,1556.04,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 8}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int8_tiny_qi.log,
mlp_int8_qi,tiny,1000,B,success,2026-05-02T10:06:31Z,1556,step_deployment_package,3.021,143.29,21008,29.77,24616,175,40.51,3,0.83,1992.984693877551,525.44,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Flatten"", ""Flatten_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/mlp_int8_tiny_qi.log,
mlp_int8_qi,tiny_plus,1000,B,success,2026-05-02T10:32:27Z,1605,step_deployment_package,2.581,134.79,21825,30.93,23663,288,66.67,3,0.83,1328.656462585034,803.52,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Flatten"", ""Flatten_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/mlp_int8_tiny_plus_qi.log,
mlp_int8_qi,small,1000,B,success,2026-05-02T10:59:13Z,1437,step_deployment_package,2.471,132.82,21042,29.82,23655,317,73.38,4,1.11,1992.984693877551,590.08,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 2}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Flatten"", ""Flatten_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/mlp_int8_small_qi.log,
mlp_int8_qi,small_plus,1000,B,tool_fail,2026-05-02T11:23:10Z,1493,step_synthesize_bitfile,,,,,,,,,,,,,,,results/finn/size_sweep_qi/compile_logs/mlp_int8_small_plus_qi.log,ERROR: [Common 17-69] Command failed: Run 'impl_1' failed. Unable to open
mlp_int8_qi,medium,1000,B,success,2026-05-02T11:48:04Z,1782,step_deployment_package,0.473,104.96,29521,41.84,24396,430,99.54,6,1.67,1992.984693877551,842.24,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 4}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Flatten"", ""Flatten_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/mlp_int8_medium_qi.log,
